player,team,rating,minutes,season
Aaron Cresswell,West Ham,6.46,2118,16-17
Aaron Cresswell,West Ham,6.68,1591,18-19
Aaron Cresswell,West Ham,6.69,3073,17-18
Aaron Cresswell,West Ham,6.81,3315,15-16
Aaron Cresswell,West Ham,6.85,3420,14-15
Aaron Hughes,Fulham,6.74,1551,11-12
Aaron Hughes,Fulham,6.75,1064,13-14
Aaron Hughes,Fulham,6.88,2115,12-13
Aaron Hughes,Fulham,6.95,3060,09-10
Aaron Hughes,Fulham,7.08,3406,10-11
Aaron Lennon,Burnley,6.38,1217,18-19
Aaron Lennon,Burnley,6.58,1125,17-18
Aaron Lennon,Everton,6.36,795,17-18
Aaron Lennon,Everton,6.37,510,16-17
Aaron Lennon,Everton,6.73,1540,15-16
Aaron Lennon,Everton,6.81,1072,14-15
Aaron Lennon,Tottenham,6.42,276,14-15
Aaron Lennon,Tottenham,6.73,2187,13-14
Aaron Lennon,Tottenham,6.83,1582,11-12
Aaron Lennon,Tottenham,6.84,2366,10-11
Aaron Lennon,Tottenham,7.03,2840,12-13
Aaron Lennon,Tottenham,7.33,1805,09-10
Aaron McLean,Hull,6.14,6,13-14
Aaron Mokoena,Portsmouth,6.56,1733,09-10
Aaron Mooy,Huddersfield,6.73,2327,18-19
Aaron Mooy,Huddersfield,6.86,3071,17-18
Aaron Ramsey,Arsenal,6.46,356,10-11
Aaron Ramsey,Arsenal,6.7,1331,18-19
Aaron Ramsey,Arsenal,6.72,1231,16-17
Aaron Ramsey,Arsenal,6.77,2466,11-12
Aaron Ramsey,Arsenal,6.86,780,09-10
Aaron Ramsey,Arsenal,6.96,2087,12-13
Aaron Ramsey,Arsenal,7.07,2010,14-15
Aaron Ramsey,Arsenal,7.21,2624,15-16
Aaron Ramsey,Arsenal,7.27,1848,17-18
Aaron Ramsey,Arsenal,7.76,1764,13-14
Aaron Rowe,Huddersfield,5.92,69,18-19
Aaron Wan-Bissaka,Crystal Palace,7.27,3135,18-19
Aaron Wan-Bissaka,Crystal Palace,7.52,628,17-18
Aaron Wilbraham,Crystal Palace,6.3,81,13-14
Aaron Wilbraham,Norwich,6.27,308,11-12
Abdelhamid Sabiri,Huddersfield,6.16,50,18-19
Abdelhamid Sabiri,Huddersfield,6.3,221,17-18
Abdisalam Ibrahim,Manchester City,6.16,14,09-10
Abdoulaye Doucouré,Watford,6.48,1351,16-17
Abdoulaye Doucouré,Watford,6.76,3062,18-19
Abdoulaye Doucouré,Watford,7.0,3325,17-18
Abdoulaye Faye,Hull,7.03,270,13-14
Abdoulaye Faye,Stoke,6.72,1125,10-11
Abdoulaye Faye,Stoke,7.03,2386,09-10
Abdoulaye Méité,West Bromwich Albion,6.42,856,10-11
Abdul Rahman Baba,Chelsea,6.75,1017,15-16
Abdul Razak,Manchester City,6.0,1,10-11
Abdul Razak,Manchester City,6.0,3,12-13
Abdul Razak,Manchester City,6.03,10,11-12
Abel Hernández,Hull,6.4,1428,16-17
Abel Hernández,Hull,6.49,1312,14-15
Abou Diaby,Arsenal,6.05,16,13-14
Abou Diaby,Arsenal,6.39,91,11-12
Abou Diaby,Arsenal,7.08,962,10-11
Abou Diaby,Arsenal,7.16,714,12-13
Abou Diaby,Arsenal,7.76,2322,09-10
Aboubakar Kamara,Fulham,6.35,690,18-19
Adam Armstrong,Newcastle United,6.07,30,13-14
Adam Armstrong,Newcastle United,6.09,204,14-15
Adam Bogdan,Bolton,6.55,1800,11-12
Adam Bogdan,Bolton,6.93,321,10-11
Adam Bogdan,Liverpool,5.6,180,15-16
Adam Campbell,Newcastle United,6.05,22,12-13
Adam Clayton,Middlesbrough,6.8,2806,16-17
Adam Drury,Norwich,6.46,907,11-12
Adam Federici,Bournemouth,5.98,496,15-16
Adam Federici,Bournemouth,6.55,180,16-17
Adam Federici,Reading,6.54,1890,12-13
Adam Forshaw,Everton,6.08,7,10-11
Adam Forshaw,Middlesbrough,6.61,2700,16-17
Adam Hammill,Wolverhampton Wanderers,6.44,544,10-11
Adam Hammill,Wolverhampton Wanderers,6.47,346,11-12
Adam Henley,Blackburn,6.83,471,11-12
Adam Johnson,Manchester City,6.78,1531,10-11
Adam Johnson,Manchester City,6.88,1140,11-12
Adam Johnson,Manchester City,7.23,1180,09-10
Adam Johnson,Sunderland,6.66,1144,15-16
Adam Johnson,Sunderland,6.72,2084,14-15
Adam Johnson,Sunderland,6.75,2942,12-13
Adam Johnson,Sunderland,6.85,2446,13-14
Adam Lallana,Liverpool,6.22,235,17-18
Adam Lallana,Liverpool,6.53,465,18-19
Adam Lallana,Liverpool,6.93,1792,14-15
Adam Lallana,Liverpool,7.08,2113,15-16
Adam Lallana,Liverpool,7.1,2350,16-17
Adam Lallana,Southampton,6.96,2242,12-13
Adam Lallana,Southampton,7.24,3102,13-14
Adam Le Fondre,Reading,6.46,1491,12-13
Adam Masina,Watford,6.66,1004,18-19
Adam Matthews,Sunderland,6.65,36,15-16
Adam Mitchell,Sunderland,5.9,2,12-13
Adam Smith,Bournemouth,6.71,2073,18-19
Adam Smith,Bournemouth,6.73,2069,17-18
Adam Smith,Bournemouth,6.84,3099,16-17
Adam Smith,Bournemouth,6.87,2097,15-16
Adam Smith,Tottenham,6.45,14,11-12
Adama Diakhaby,Huddersfield,6.08,553,18-19
Adama Diomande,Hull,6.43,1170,16-17
Adama Traoré,Aston Villa,6.38,184,15-16
Adama Traoré,Middlesbrough,7.03,1537,16-17
Adama Traoré,Wolverhampton Wanderers,6.59,896,18-19
Adel Taarabt,Fulham,6.65,594,13-14
Adel Taarabt,Queens Park Rangers,6.47,295,14-15
Adel Taarabt,Queens Park Rangers,6.99,2017,11-12
Adel Taarabt,Queens Park Rangers,7.22,2245,12-13
Ademola Lookman,Everton,6.31,154,17-18
Ademola Lookman,Everton,6.41,290,16-17
Ademola Lookman,Everton,6.47,602,18-19
Adlène Guédioura,Crystal Palace,6.3,122,14-15
Adlène Guédioura,Crystal Palace,6.35,317,13-14
Adlène Guédioura,Middlesbrough,6.41,136,16-17
Adlène Guédioura,Watford,6.41,421,15-16
Adlène Guédioura,Watford,6.53,723,16-17
Adlène Guédioura,Wolverhampton Wanderers,6.22,295,11-12
Adlène Guédioura,Wolverhampton Wanderers,6.39,367,10-11
Adlène Guédioura,Wolverhampton Wanderers,6.55,591,09-10
Adnan Januzaj,Manchester United,6.33,144,15-16
Adnan Januzaj,Manchester United,6.47,850,14-15
Adnan Januzaj,Manchester United,6.96,1641,13-14
Adnan Januzaj,Sunderland,6.52,1630,16-17
Adrian Mariappa,Crystal Palace,6.5,256,15-16
Adrian Mariappa,Crystal Palace,6.55,840,14-15
Adrian Mariappa,Crystal Palace,7.0,2113,13-14
Adrian Mariappa,Reading,6.98,2610,12-13
Adrian Mariappa,Watford,6.6,1924,18-19
Adrian Mariappa,Watford,6.65,2209,17-18
Adrian Mariappa,Watford,6.85,561,16-17
Adrien Silva,Leicester,6.2,88,18-19
Adrien Silva,Leicester,6.4,763,17-18
Adrián,West Ham,6.66,1440,16-17
Adrián,West Ham,6.78,1710,17-18
Adrián,West Ham,6.8,3391,14-15
Adrián,West Ham,6.81,2880,15-16
Adrián,West Ham,6.82,1800,13-14
Ahmed El Mohamady,Hull,6.58,2520,16-17
Ahmed El Mohamady,Hull,7.0,3330,13-14
Ahmed El Mohamady,Hull,7.17,3420,14-15
Ahmed El Mohamady,Sunderland,6.19,22,12-13
Ahmed El Mohamady,Sunderland,6.5,773,11-12
Ahmed El Mohamady,Sunderland,6.85,2455,10-11
Ahmed Hegazi,West Bromwich Albion,6.98,3387,17-18
Ahmed Musa,Leicester,6.32,755,16-17
Aiden McGeady,Everton,6.51,470,13-14
Aiden McGeady,Everton,6.53,887,14-15
Aiden O'Neill,Burnley,6.07,83,16-17
Ainsley Maitland-Niles,Arsenal,6.0,1,14-15
Ainsley Maitland-Niles,Arsenal,6.14,1,16-17
Ainsley Maitland-Niles,Arsenal,6.64,986,18-19
Ainsley Maitland-Niles,Arsenal,6.65,909,17-18
Alan Hutton,Aston Villa,6.45,2330,15-16
Alan Hutton,Aston Villa,6.78,2594,11-12
Alan Hutton,Aston Villa,6.83,2418,14-15
Alan Hutton,Sunderland,6.89,951,09-10
Alan Hutton,Tottenham,6.44,233,09-10
Alan Hutton,Tottenham,7.0,1704,10-11
Alan Smith,Newcastle United,5.88,5,11-12
Alan Smith,Newcastle United,6.29,579,10-11
Alan Tate,Swansea,6.24,164,11-12
Alan Tate,Swansea,6.58,162,12-13
Albert Adomah,Middlesbrough,6.27,121,16-17
Albert Crusat,Wigan,6.25,486,11-12
Albert Riera,Liverpool,6.94,651,09-10
Alberto Aquilani,Liverpool,6.81,815,09-10
Alberto Moreno,Liverpool,6.28,298,16-17
Alberto Moreno,Liverpool,6.65,155,18-19
Alberto Moreno,Liverpool,6.72,2263,14-15
Alberto Moreno,Liverpool,6.8,1264,17-18
Alberto Moreno,Liverpool,7.05,2548,15-16
Alberto Paloschi,Swansea,6.4,669,15-16
Aleix García,Manchester City,6.26,76,16-17
Alejandro Faurlin,Queens Park Rangers,6.63,91,14-15
Alejandro Faurlin,Queens Park Rangers,6.71,785,12-13
Alejandro Faurlin,Queens Park Rangers,7.26,1800,11-12
Alejandro Pozuelo,Swansea,6.38,871,13-14
Aleksandar Dragovic,Leicester,6.76,767,17-18
Aleksandar Kolarov,Manchester City,6.8,1051,12-13
Aleksandar Kolarov,Manchester City,6.89,1717,10-11
Aleksandar Kolarov,Manchester City,7.12,1971,13-14
Aleksandar Kolarov,Manchester City,7.14,2282,15-16
Aleksandar Kolarov,Manchester City,7.18,821,11-12
Aleksandar Kolarov,Manchester City,7.3,2533,16-17
Aleksandar Kolarov,Manchester City,7.32,1486,14-15
Aleksandar Mitrovic,Fulham,7.03,3282,18-19
Aleksandar Mitrovic,Newcastle United,6.43,89,17-18
Aleksandar Mitrovic,Newcastle United,6.67,2117,15-16
Aleksandar Tonev,Aston Villa,6.23,596,13-14
Alessandro Diamanti,Watford,6.3,65,15-16
Alessandro Diamanti,West Ham,6.25,17,10-11
Alessandro Diamanti,West Ham,7.15,1818,09-10
Alex Baptiste,Blackpool,6.78,1729,10-11
Alex Bruce,Hull,6.66,1594,13-14
Alex Bruce,Hull,6.79,1450,14-15
Alex Iwobi,Arsenal,6.62,1976,18-19
Alex Iwobi,Arsenal,6.72,1463,16-17
Alex Iwobi,Arsenal,6.78,632,15-16
Alex Iwobi,Arsenal,6.88,1844,17-18
Alex McCarthy,Crystal Palace,6.72,630,15-16
Alex McCarthy,Queens Park Rangers,6.27,236,14-15
Alex McCarthy,Reading,7.15,1170,12-13
Alex McCarthy,Southampton,6.53,1620,17-18
Alex McCarthy,Southampton,6.58,2250,18-19
Alex Nimely,Manchester City,6.07,7,09-10
Alex Oxlade Chamberlain,Arsenal,6.55,525,13-14
Alex Oxlade Chamberlain,Arsenal,6.65,556,11-12
Alex Oxlade Chamberlain,Arsenal,6.66,925,15-16
Alex Oxlade Chamberlain,Arsenal,6.78,1063,12-13
Alex Oxlade Chamberlain,Arsenal,6.99,1563,16-17
Alex Oxlade Chamberlain,Arsenal,7.15,1495,14-15
Alex Oxlade Chamberlain,Arsenal,7.81,242,17-18
Alex Oxlade Chamberlain,Liverpool,6.35,19,18-19
Alex Oxlade Chamberlain,Liverpool,6.88,1485,17-18
Alex Pearce,Reading,6.77,1645,12-13
Alex Pritchard,Huddersfield,6.51,2092,18-19
Alex Pritchard,Huddersfield,6.7,1003,17-18
Alex Pritchard,Tottenham,6.03,5,15-16
Alex Pritchard,Tottenham,6.04,7,13-14
Alex Pritchard,West Bromwich Albion,6.39,62,15-16
Alex Smith,Fulham,6.0,1,12-13
Alex,Chelsea,7.0,246,11-12
Alex,Chelsea,7.34,1111,10-11
Alex,Chelsea,7.37,1269,09-10
Alexander Büttner,Manchester United,6.62,497,13-14
Alexander Büttner,Manchester United,7.34,382,12-13
Alexander Kacaniklic,Fulham,6.4,202,11-12
Alexander Kacaniklic,Fulham,6.43,1302,13-14
Alexander Kacaniklic,Fulham,6.69,1264,12-13
Alexander Sørloth,Crystal Palace,6.16,173,18-19
Alexander Sørloth,Crystal Palace,7.1,360,17-18
Alexander Tettey,Norwich,6.68,1952,15-16
Alexander Tettey,Norwich,6.7,1488,13-14
Alexander Tettey,Norwich,6.71,1903,12-13
Alexandre Lacazette,Arsenal,7.09,2212,17-18
Alexandre Lacazette,Arsenal,7.17,2507,18-19
Alexandre Pato,Chelsea,6.62,131,15-16
Alexandre Song,Arsenal,7.22,2999,11-12
Alexandre Song,Arsenal,7.38,2595,10-11
Alexandre Song,Arsenal,7.5,2240,09-10
Alexandre Song,West Ham,6.72,660,15-16
Alexandre Song,West Ham,6.97,2249,14-15
Alexis Sánchez,Arsenal,7.33,1508,17-18
Alexis Sánchez,Arsenal,7.72,2446,15-16
Alexis Sánchez,Arsenal,7.76,3224,16-17
Alexis Sánchez,Arsenal,7.81,2953,14-15
Alexis Sánchez,Manchester United,6.6,877,18-19
Alexis Sánchez,Manchester United,7.55,1048,17-18
Alfie Mawson,Fulham,6.43,1132,18-19
Alfie Mawson,Swansea,6.81,3420,17-18
Alfie Mawson,Swansea,6.99,2430,16-17
Alfred N'Diaye,Hull,6.51,1277,16-17
Alfred N'Diaye,Sunderland,6.74,1298,12-13
Ali Al Habsi,Wigan,6.27,2610,12-13
Ali Al Habsi,Wigan,6.6,3420,11-12
Ali Al Habsi,Wigan,6.82,3060,10-11
Aliaksandr Hleb,Birmingham,6.53,1093,10-11
Alireza Jahanbakhsh,Brighton,6.33,1022,18-19
Alisson,Liverpool,6.79,3420,18-19
Allan McGregor,Hull,6.42,2340,14-15
Allan McGregor,Hull,6.48,2229,13-14
Allan-Roméo Nyom,Watford,6.76,2475,15-16
Allan-Roméo Nyom,West Bromwich Albion,6.57,2309,17-18
Allan-Roméo Nyom,West Bromwich Albion,6.76,2639,16-17
Almen Abdi,Watford,6.74,1987,15-16
Alou Diarra,West Ham,6.24,114,13-14
Alou Diarra,West Ham,6.34,138,12-13
Aly Cissokho,Aston Villa,6.46,1603,15-16
Aly Cissokho,Aston Villa,6.78,2133,14-15
Aly Cissokho,Liverpool,6.99,1090,13-14
Amine Linganzi,Blackburn,6.25,38,10-11
Amine Linganzi,Blackburn,6.61,46,09-10
Amr Zaki,Hull,6.11,228,09-10
Ander Herrera,Manchester United,6.6,1262,17-18
Ander Herrera,Manchester United,6.77,1538,15-16
Ander Herrera,Manchester United,6.96,1405,18-19
Ander Herrera,Manchester United,7.33,1869,14-15
Ander Herrera,Manchester United,7.36,2467,16-17
Anders Lindegaard,Manchester United,6.27,900,12-13
Anders Lindegaard,Manchester United,6.85,720,11-12
Anders Lindegaard,Manchester United,7.82,90,13-14
Anderson,Manchester United,6.49,155,13-14
Anderson,Manchester United,6.49,20,14-15
Anderson,Manchester United,6.68,824,12-13
Anderson,Manchester United,6.84,865,09-10
Anderson,Manchester United,6.95,1190,10-11
Anderson,Manchester United,7.22,695,11-12
Andre Gray,Burnley,6.42,2268,16-17
Andre Gray,Watford,6.24,1499,17-18
Andre Gray,Watford,6.35,1362,18-19
Andre Green,Aston Villa,6.57,57,15-16
Andre Wisdom,Liverpool,6.28,81,13-14
Andre Wisdom,Liverpool,6.9,1016,12-13
Andre Wisdom,Norwich,6.52,824,15-16
Andre Wisdom,West Bromwich Albion,6.61,1971,14-15
Andrea Dossena,Liverpool,6.18,54,09-10
Andrea Dossena,Sunderland,6.27,496,13-14
Andrea Orlandi,Swansea,6.98,120,11-12
Andrea Ranocchia,Hull,6.89,1330,16-17
Andreas Christensen,Chelsea,6.08,12,14-15
Andreas Christensen,Chelsea,6.73,615,18-19
Andreas Christensen,Chelsea,6.8,2071,17-18
Andreas Cornelius,Cardiff,6.04,107,13-14
Andreas Pereira,Manchester United,6.22,80,15-16
Andreas Pereira,Manchester United,6.26,597,18-19
Andreas Pereira,Manchester United,6.32,13,14-15
Andreas Weimann,Aston Villa,5.99,3,10-11
Andreas Weimann,Aston Villa,6.26,533,11-12
Andreas Weimann,Aston Villa,6.39,1780,14-15
Andreas Weimann,Aston Villa,6.59,2660,13-14
Andreas Weimann,Aston Villa,6.81,2254,12-13
Andrej Kramaric,Leicester,6.09,22,15-16
Andrej Kramaric,Leicester,6.38,575,14-15
Andrew Crofts,Norwich,6.34,1289,11-12
Andrew Eleftheriou,Watford,6.28,51,16-17
Andrew Johnson,Fulham,6.31,598,09-10
Andrew Johnson,Fulham,6.44,1550,10-11
Andrew Johnson,Fulham,6.71,1244,11-12
Andrew Johnson,Queens Park Rangers,6.05,135,12-13
Andrew Robertson,Hull,6.67,2737,16-17
Andrew Robertson,Hull,6.72,1527,14-15
Andrew Robertson,Liverpool,7.02,1943,17-18
Andrew Robertson,Liverpool,7.12,3219,18-19
Andrew Surman,Bournemouth,6.33,1439,18-19
Andrew Surman,Bournemouth,6.58,1792,16-17
Andrew Surman,Bournemouth,6.73,1852,17-18
Andrew Surman,Bournemouth,6.79,3420,15-16
Andrew Surman,Norwich,6.15,274,12-13
Andrew Surman,Norwich,6.67,1915,11-12
Andrew Surman,Wolverhampton Wanderers,6.13,315,09-10
Andrew Taylor,Cardiff,6.47,1573,13-14
Andrey Arshavin,Arsenal,6.15,80,12-13
Andrey Arshavin,Arsenal,6.43,722,11-12
Andrey Arshavin,Arsenal,7.06,2197,10-11
Andrey Arshavin,Arsenal,7.26,2267,09-10
Andrey Voronin,Liverpool,6.33,200,09-10
Andriy Shevchenko,Chelsea,6.03,3,09-10
Andriy Yarmolenko,West Ham,6.28,461,18-19
Andros Townsend,Crystal Palace,6.98,3018,18-19
Andros Townsend,Crystal Palace,7.06,2529,16-17
Andros Townsend,Crystal Palace,7.11,3129,17-18
Andros Townsend,Newcastle United,7.35,1089,15-16
Andros Townsend,Queens Park Rangers,7.37,1019,12-13
Andros Townsend,Tottenham,6.26,29,12-13
Andros Townsend,Tottenham,6.54,754,14-15
Andros Townsend,Tottenham,6.6,64,15-16
Andros Townsend,Tottenham,6.92,1226,13-14
André Ayew,Swansea,6.64,951,17-18
André Ayew,Swansea,6.98,2940,15-16
André Ayew,West Ham,6.42,892,17-18
André Ayew,West Ham,6.58,1442,16-17
André Bikey,Burnley,6.77,2190,09-10
André Carrillo,Watford,6.62,1537,17-18
André Gomes,Everton,6.65,1986,18-19
André Santos,Arsenal,6.73,395,12-13
André Santos,Arsenal,7.25,1012,11-12
André Schürrle,Chelsea,6.61,433,14-15
André Schürrle,Chelsea,6.88,1327,13-14
André Schürrle,Fulham,6.59,1650,18-19
André-Frank Zambo Anguissa,Fulham,6.69,1519,18-19
Andy Carroll,Liverpool,6.3,18,12-13
Andy Carroll,Liverpool,6.75,447,10-11
Andy Carroll,Liverpool,6.89,2065,11-12
Andy Carroll,Newcastle United,7.54,1624,10-11
Andy Carroll,West Ham,6.33,456,18-19
Andy Carroll,West Ham,6.69,748,17-18
Andy Carroll,West Ham,6.92,1436,15-16
Andy Carroll,West Ham,7.23,1093,13-14
Andy Carroll,West Ham,7.28,1027,14-15
Andy Carroll,West Ham,7.42,1314,16-17
Andy Carroll,West Ham,7.58,1939,12-13
Andy Dawson,Hull,6.64,3068,09-10
Andy Keogh,Wolverhampton Wanderers,5.9,40,10-11
Andy Keogh,Wolverhampton Wanderers,6.67,743,09-10
Andy King,Leicester,6.33,536,17-18
Andy King,Leicester,6.56,1050,15-16
Andy King,Leicester,6.61,1445,16-17
Andy King,Leicester,6.73,1374,14-15
Andy King,Swansea,6.41,719,17-18
Andy O'Brien,Bolton,6.09,42,10-11
Andy O'Brien,Bolton,6.85,514,09-10
Andy Reid,Blackpool,6.08,191,10-11
Andy Reid,Sunderland,6.02,12,10-11
Andy Reid,Sunderland,7.35,1645,09-10
Andy Wilkinson,Stoke,6.2,274,13-14
Andy Wilkinson,Stoke,6.5,1709,11-12
Andy Wilkinson,Stoke,6.58,1730,12-13
Andy Wilkinson,Stoke,6.8,1752,10-11
Andy Wilkinson,Stoke,6.86,2034,09-10
Angel Gomes,Manchester United,6.05,2,16-17
Angel Gomes,Manchester United,6.08,25,18-19
Angel Rangel,Swansea,6.16,155,17-18
Angel Rangel,Swansea,6.58,823,16-17
Angel Rangel,Swansea,6.89,1822,15-16
Angel Rangel,Swansea,6.89,2036,14-15
Angel Rangel,Swansea,7.0,2872,11-12
Angel Rangel,Swansea,7.14,2632,13-14
Angel Rangel,Swansea,7.18,2750,12-13
Angelo Ogbonna,West Ham,6.7,1756,16-17
Angelo Ogbonna,West Ham,6.74,1871,18-19
Angelo Ogbonna,West Ham,6.75,2880,17-18
Angelo Ogbonna,West Ham,6.86,2328,15-16
Angelos Basinas,Portsmouth,6.54,771,09-10
Angus Gunn,Southampton,6.37,1080,18-19
Anthony Forde,Wolverhampton Wanderers,6.24,243,11-12
Anthony Gardner,Hull,6.79,2160,09-10
Anthony Knockaert,Brighton,6.64,1833,18-19
Anthony Knockaert,Brighton,6.79,2427,17-18
Anthony Knockaert,Leicester,6.34,330,14-15
Anthony Martial,Manchester United,6.87,1584,17-18
Anthony Martial,Manchester United,6.9,1624,18-19
Anthony Martial,Manchester United,6.94,1558,16-17
Anthony Martial,Manchester United,7.23,2632,15-16
Anthony Modeste,Blackburn,5.93,383,11-12
Anthony Pilkington,Norwich,6.34,832,13-14
Anthony Pilkington,Norwich,6.65,2158,12-13
Anthony Pilkington,Norwich,6.71,1975,11-12
Anthony Réveillere,Sunderland,6.87,1327,14-15
Anthony Vanden Borre,Portsmouth,6.74,1325,09-10
Antolín Alcaraz,Everton,7.0,527,14-15
Antolín Alcaraz,Everton,7.05,495,13-14
Antolín Alcaraz,Wigan,6.89,2174,11-12
Antolín Alcaraz,Wigan,7.03,691,12-13
Antolín Alcaraz,Wigan,7.42,3029,10-11
Anton Ferdinand,Queens Park Rangers,6.67,914,12-13
Anton Ferdinand,Queens Park Rangers,6.75,2750,11-12
Anton Ferdinand,Sunderland,6.76,270,11-12
Anton Ferdinand,Sunderland,6.83,1776,09-10
Anton Ferdinand,Sunderland,6.9,2089,10-11
Antonio Barragán,Middlesbrough,6.94,2196,16-17
Antonio Barreca,Newcastle United,5.99,4,18-19
Antonio Luna,Aston Villa,6.74,1382,13-14
Antonio Nocerino,West Ham,6.25,254,13-14
Antonio Rüdiger,Chelsea,6.78,2874,18-19
Antonio Rüdiger,Chelsea,6.92,2336,17-18
Apostolos Vellios,Everton,6.19,54,12-13
Apostolos Vellios,Everton,6.27,30,10-11
Apostolos Vellios,Everton,6.35,248,11-12
Armand Traore,Arsenal,5.9,90,11-12
Armand Traore,Arsenal,7.18,805,09-10
Armand Traore,Queens Park Rangers,6.63,782,14-15
Armand Traore,Queens Park Rangers,6.66,1617,11-12
Armand Traore,Queens Park Rangers,6.83,2096,12-13
Aron Gunnarsson,Cardiff,6.5,1540,13-14
Aron Gunnarsson,Cardiff,6.61,2275,18-19
Arouna Koné,Everton,6.07,72,16-17
Arouna Koné,Everton,6.14,79,13-14
Arouna Koné,Everton,6.33,604,14-15
Arouna Koné,Everton,6.7,1459,15-16
Arouna Koné,Wigan,6.87,2931,12-13
Arthur Masuaku,West Ham,6.9,1758,18-19
Arthur Masuaku,West Ham,7.02,1873,17-18
Arthur Masuaku,West Ham,7.13,972,16-17
Artur Boruc,Bournemouth,6.46,2880,15-16
Artur Boruc,Bournemouth,6.68,3150,16-17
Artur Boruc,Bournemouth,6.72,1080,18-19
Artur Boruc,Southampton,6.61,1756,12-13
Artur Boruc,Southampton,6.69,2578,13-14
Aruna Dindane,Portsmouth,7.04,1479,09-10
Asamoah Gyan,Sunderland,6.59,233,11-12
Asamoah Gyan,Sunderland,6.86,2000,10-11
Ashkan Dejagah,Fulham,6.63,1193,12-13
Ashkan Dejagah,Fulham,6.76,1301,13-14
Ashley Barnes,Burnley,6.57,2159,17-18
Ashley Barnes,Burnley,6.62,1779,16-17
Ashley Barnes,Burnley,6.71,2428,14-15
Ashley Barnes,Burnley,6.75,2388,18-19
Ashley Cole,Chelsea,6.86,2786,11-12
Ashley Cole,Chelsea,6.87,2790,12-13
Ashley Cole,Chelsea,6.91,1387,13-14
Ashley Cole,Chelsea,6.95,3387,10-11
Ashley Cole,Chelsea,7.41,2157,09-10
Ashley Fletcher,West Ham,6.11,354,16-17
Ashley Westwood,Aston Villa,6.66,2152,14-15
Ashley Westwood,Aston Villa,6.69,2720,15-16
Ashley Westwood,Aston Villa,6.83,3081,13-14
Ashley Westwood,Aston Villa,6.92,2463,12-13
Ashley Westwood,Burnley,6.29,550,16-17
Ashley Westwood,Burnley,6.41,1108,17-18
Ashley Westwood,Burnley,6.8,2822,18-19
Ashley Williams,Everton,6.7,1835,17-18
Ashley Williams,Everton,7.04,3159,16-17
Ashley Williams,Swansea,7.0,3330,11-12
Ashley Williams,Swansea,7.1,3330,12-13
Ashley Williams,Swansea,7.19,3240,15-16
Ashley Williams,Swansea,7.23,3040,13-14
Ashley Williams,Swansea,7.23,3330,14-15
Ashley Young,Aston Villa,7.08,3304,09-10
Ashley Young,Aston Villa,7.11,3054,10-11
Ashley Young,Manchester United,6.55,1030,13-14
Ashley Young,Manchester United,6.6,1063,15-16
Ashley Young,Manchester United,6.83,758,16-17
Ashley Young,Manchester United,6.87,2569,18-19
Ashley Young,Manchester United,6.99,1375,12-13
Ashley Young,Manchester United,7.12,2448,17-18
Ashley Young,Manchester United,7.23,2068,14-15
Ashley Young,Manchester United,7.24,1573,11-12
Asmir Begovic,Bournemouth,6.25,2160,18-19
Asmir Begovic,Bournemouth,6.52,3420,17-18
Asmir Begovic,Chelsea,5.67,180,16-17
Asmir Begovic,Chelsea,6.76,1397,15-16
Asmir Begovic,Portsmouth,6.8,736,09-10
Asmir Begovic,Stoke,6.65,3150,14-15
Asmir Begovic,Stoke,6.72,1996,11-12
Asmir Begovic,Stoke,6.79,3420,12-13
Asmir Begovic,Stoke,6.82,324,09-10
Asmir Begovic,Stoke,6.9,2520,10-11
Asmir Begovic,Stoke,7.01,2880,13-14
Axel Tuanzebe,Manchester United,6.0,1,17-18
Axel Tuanzebe,Manchester United,6.64,305,16-17
Aymeric Laporte,Manchester City,7.05,3057,18-19
Aymeric Laporte,Manchester City,7.09,807,17-18
Ayoze Pérez,Newcastle United,6.71,2050,15-16
Ayoze Pérez,Newcastle United,6.74,2372,14-15
Ayoze Pérez,Newcastle United,6.74,2497,17-18
Ayoze Pérez,Newcastle United,6.95,2928,18-19
Bacary Sagna,Arsenal,7.03,2240,12-13
Bacary Sagna,Arsenal,7.06,2761,09-10
Bacary Sagna,Arsenal,7.14,1701,11-12
Bacary Sagna,Arsenal,7.16,2969,10-11
Bacary Sagna,Arsenal,7.2,3061,13-14
Bacary Sagna,Manchester City,6.93,1345,16-17
Bacary Sagna,Manchester City,7.09,740,14-15
Bacary Sagna,Manchester City,7.12,2448,15-16
Badou Ndiaye,Stoke,7.02,1140,17-18
Bafétimbi Gomis,Swansea,6.42,1698,15-16
Bafétimbi Gomis,Swansea,6.62,1644,14-15
Baily Cargill,Bournemouth,6.23,12,16-17
Bakary Sako,Crystal Palace,5.96,26,18-19
Bakary Sako,Crystal Palace,6.23,136,16-17
Bakary Sako,Crystal Palace,6.41,469,17-18
Bakary Sako,Crystal Palace,6.61,1074,15-16
Barry Bannan,Aston Villa,6.37,637,10-11
Barry Bannan,Aston Villa,6.54,1249,11-12
Barry Bannan,Aston Villa,6.74,1628,12-13
Barry Bannan,Crystal Palace,6.15,137,14-15
Barry Bannan,Crystal Palace,6.65,1006,13-14
Barry Ferguson,Birmingham,6.69,3150,10-11
Barry Ferguson,Birmingham,6.82,3330,09-10
Bastian Schweinsteiger,Manchester United,6.78,1205,15-16
Bebé,Manchester United,6.27,75,10-11
